"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)"
0.6,21.7556592718,28.9700502027
0.61,21.7103877936,28.9467589642
0.62,21.7556592718,28.9249248252
0.63,21.7337546941,28.8550645557
0.64,21.7556592718,28.9700502027
0.65,21.7103877936,28.9016365565
0.66,21.7556592718,28.9700502027
0.67,21.7103877936,28.9467589642
0.68,21.7556592718,28.8783498038
0.69,21.7103877936,28.8783498038
0.7,21.7556592718,28.9700502027
0.71,21.7103877936,28.9700502027
0.72,21.7556592718,28.8550645557
0.73,21.7103877936,28.8783498038
0.74,21.7556592718,28.9700502027
0.75,21.7337546941,28.9467589642
0.76,21.7556592718,28.8783498038
0.77,21.7337546941,28.8783498038
0.78,21.7556592718,28.9700502027
0.79,21.7103877936,28.8783498038
0.8,21.7556592718,28.9467589642
0.81,21.7103877936,28.9700502027
0.82,21.7556592718,28.8783498038
0.83,21.7337546941,28.8550645557
0.84,21.7556592718,28.9700502027
0.85,21.7337546941,28.9700502027
0.86,21.7556592718,28.9467589642
0.87,21.7103877936,28.8550645557
0.88,21.7790221491,28.9700502027
0.89,21.7337546941,28.9016365565
0.9,21.7556592718,28.8783498038
0.91,21.7103877936,28.9700502027
0.92,21.7790221491,28.8783498038
0.93,21.7337546941,28.8783498038
0.94,21.7790221491,28.9700502027
0.95,21.7337546941,28.9467589642
0.96,21.7790221491,28.8550645557
0.97,21.7337546941,28.9016365565
0.98,21.7556592718,28.9700502027
0.99,21.7103877936,28.9467589642
1,21.7556592718,28.8783498038
1.01,21.7337546941,28.9700502027
1.02,21.7556592718,28.8783498038
1.03,21.7337546941,28.9249248252
1.04,21.7556592718,28.9016365565
1.05,21.7337546941,28.9016365565
1.06,21.7790221491,28.9700502027
1.07,21.7337546941,28.8550645557
1.08,21.7556592718,28.9700502027
1.09,21.7337546941,28.831780801
1.1,21.7790221491,28.9467589642
1.11,21.7556592718,28.9467589642
1.12,21.7790221491,28.9467589642
1.13,21.7337546941,28.8550645557
1.14,21.7790221491,28.9700502027
1.15,21.7337546941,28.8550645557
1.16,21.7790221491,28.9700502027
1.17,21.7556592718,28.9249248252
1.18,21.7790221491,28.9467589642
1.19,21.7556592718,28.9700502027
1.2,21.7556592718,28.8783498038
1.21,21.7103877936,28.9467589642
1.22,21.7790221491,28.9700502027
1.23,21.7556592718,28.8783498038
1.24,21.7790221491,28.9700502027
1.25,21.7337546941,28.8550645557
1.26,21.7790221491,28.9700502027
1.27,21.7337546941,28.9700502027
1.28,21.7790221491,28.8783498038
1.29,21.7337546941,28.8783498038
1.3,21.7790221491,28.9700502027
1.31,21.7337546941,28.8550645557
1.32,21.7790221491,28.8783498038
1.33,21.7337546941,28.9700502027
1.34,21.7790221491,28.8783498038
1.35,21.7556592718,28.9700502027
1.36,21.7556592718,28.8783498038
1.37,21.7337546941,28.9700502027
1.38,21.7790221491,28.9016365565
1.39,21.7337546941,28.831780801
1.4,21.7556592718,28.9700502027
1.41,21.7337546941,28.9700502027
1.42,21.7790221491,28.9016365565
1.43,21.7337546941,28.831780801
1.44,21.7556592718,28.9700502027
1.45,21.7556592718,28.9016365565
1.46,21.7790221491,28.8783498038
1.47,21.7337546941,28.9700502027
1.48,21.7790221491,28.8783498038
1.49,21.7556592718,28.8783498038
1.5,21.7790221491,28.9700502027
1.51,21.7556592718,28.9249248252
1.52,21.7556592718,28.9016365565
1.53,21.7337546941,28.8550645557
1.54,21.7556592718,28.8783498038
1.55,21.7103877936,28.9467589642
1.56,21.7790221491,28.8550645557
1.57,21.7337546941,28.9467589642
1.58,21.7790221491,28.9700502027
1.59,21.7337546941,28.8783498038
1.6,21.7790221491,28.9249248252
1.61,21.7337546941,28.9467589642
1.62,21.7790221491,28.9467589642
1.63,21.7556592718,28.8550645557
1.64,21.7790221491,28.9467589642
1.65,21.7556592718,28.9467589642
1.66,21.7790221491,28.9467589642
1.67,21.7337546941,28.9249248252
1.68,21.7790221491,28.9249248252
1.69,21.7337546941,28.9700502027
1.7,21.7790221491,28.8550645557
1.71,21.7337546941,28.9467589642
1.72,21.7790221491,28.8550645557
1.73,21.7556592718,28.9700502027
1.74,21.7790221491,28.8550645557
1.75,21.7556592718,28.9016365565
1.76,21.7790221491,28.9016365565
1.77,21.7556592718,28.9700502027
1.78,21.7790221491,28.9700502027
1.79,21.7556592718,28.8783498038
1.8,21.7790221491,28.9249248252
1.81,21.7556592718,28.9016365565
1.82,21.7790221491,28.9249248252
1.83,21.7556592718,28.8783498038
1.84,21.7790221491,28.9467589642
